,Consumo_Predicho
2025-10-01 11:53:00,11.0962941236794
2025-10-01 11:54:00,0.0
2025-10-01 11:55:00,0.0
2025-10-01 11:56:00,0.0
2025-10-01 11:57:00,0.0
2025-10-01 11:58:00,0.0
2025-10-01 11:59:00,0.0
2025-10-01 12:00:00,0.0
2025-10-01 12:01:00,0.0
2025-10-01 12:02:00,0.0
2025-10-01 12:03:00,0.0
2025-10-01 12:04:00,0.0
2025-10-01 12:05:00,0.0
2025-10-01 12:06:00,0.0
2025-10-01 12:07:00,0.0
2025-10-01 12:08:00,0.0
2025-10-01 12:09:00,0.0
2025-10-01 12:10:00,0.0
2025-10-01 12:11:00,0.0
2025-10-01 12:12:00,0.0
2025-10-01 12:13:00,0.0
2025-10-01 12:14:00,0.0
2025-10-01 12:15:00,0.0
2025-10-01 12:16:00,0.0
2025-10-01 12:17:00,0.0
2025-10-01 12:18:00,0.0
2025-10-01 12:19:00,0.0
2025-10-01 12:20:00,0.0
2025-10-01 12:21:00,0.0
2025-10-01 12:22:00,0.0
