component,explained_variance,cumulative_variance
PC1,0.055504726471315394,0.055504726471315394
PC2,0.028443568589852627,0.08394829506116802
PC3,0.021491633425937996,0.10543992848710601
PC4,0.01646576873897506,0.12190569722608108
PC5,0.016262414515563515,0.1381681117416446
PC6,0.01617316023108529,0.15434127197272987
PC7,0.016082354582495434,0.1704236265552253
PC8,0.016044305074324375,0.18646793162954967
PC9,0.01594482780754908,0.20241275943709874
PC10,0.01584339423681145,0.21825615367391019
PC11,0.015812315881839477,0.23406846955574967
PC12,0.015758840808308066,0.24982731036405773
PC13,0.015607259881871727,0.2654345702459294
PC14,0.015437069855679865,0.2808716401016093
PC15,0.015393383050198871,0.2962650231518082
PC16,0.015281765531305622,0.3115467886831138
PC17,0.01522854754987204,0.3267753362329858
PC18,0.015063292899348794,0.3418386291323346
PC19,0.0150362896324205,0.3568749187647551
PC20,0.015005840890076273,0.37188075965483136
PC21,0.01495622563963129,0.38683698529446264
PC22,0.0148572177491301,0.40169420304359277
PC23,0.014697341794369254,0.41639154483796204
PC24,0.01466701772995993,0.43105856256792197
PC25,0.01461638834323592,0.4456749509111579
PC26,0.01458354232623705,0.46025849323739493
PC27,0.014543534018650736,0.47480202725604564
PC28,0.014458409793343256,0.4892604370493889
PC29,0.014442438119211209,0.5037028751686001
PC30,0.014343169196731193,0.5180460443653313
PC31,0.014252847788537104,0.5322988921538684
PC32,0.014140993295480454,0.5464398854493488
PC33,0.014035161719284067,0.560475047168633
PC34,0.013992594142858483,0.5744676413114914
PC35,0.013977799488715852,0.5884454408002072
PC36,0.013917627891098648,0.6023630686913058
PC37,0.013826337266199841,0.6161894059575057
PC38,0.013785222864625236,0.629974628822131
PC39,0.013699842713614366,0.6436744715357453
PC40,0.0136508940210663,0.6573253655568116
PC41,0.013636984940580004,0.6709623504973916
PC42,0.013549955813403364,0.684512306310795
PC43,0.013496639730404247,0.6980089460411992
PC44,0.013453148227838278,0.7114620942690375
PC45,0.013391442265235757,0.7248535365342733
PC46,0.013341624887811394,0.7381951614220847
PC47,0.01327219566137329,0.751467357083458
PC48,0.013210995292893454,0.7646783523763515
PC49,0.013145117851006407,0.7778234702273579
PC50,0.013094333127798088,0.7909178033551559
PC51,0.0130325951993226,0.8039503985544786
PC52,0.012955115367666772,0.8169055139221454
PC53,0.012930120991013483,0.8298356349131588
PC54,0.012881269113670483,0.8427169040268293
PC55,0.012749669803183568,0.8554665738300129
PC56,0.01266266536789165,0.8681292391979045
PC57,0.012549743895071191,0.8806789830929758
PC58,0.012531375328007832,0.8932103584209836
PC59,0.012435431912150217,0.9056457903331339
